lesion_id,asymmetry_score,border_score,color_score_red,color_score_green,color_score_blue
img_0655,0.745,0.298,0.005,0.004,0.004
img_0658,0.189,0.313,0.012,0.008,0.006
img_0659,0.355,0.062,0.004,0.003,0.002
img_0661,0.955,0.045,0.019,0.005,0.006
img_0662,0.29,0.193,0.005,0.004,0.007
img_0663,0.276,0.032,0.002,0.002,0.0
img_0666,0.948,0.028,0.017,0.004,0.003
img_0667,0.862,0.291,0.012,0.004,0.005
img_0668,0.329,0.165,0.004,0.005,0.003
img_0669,0.153,0.13,0.008,0.004,0.003
img_0672,0.175,1.0,0.026,0.007,0.004
img_0673,0.876,0.014,0.009,0.002,0.001
img_0674,0.259,0.702,0.013,0.001,0.001
img_0675,0.874,0.025,0.003,0.002,0.002
img_0676,0.505,0.2,0.033,0.016,0.008
img_0677,0.963,0.068,0.002,0.002,0.002
img_0678,0.0,0.0,0.0,0.0,0.0
img_0679,0.2,1.0,0.009,0.004,0.003
img_0680,0.749,1.0,0.006,0.004,0.004
img_0681,0.406,1.0,0.009,0.005,0.004
img_0682,0.408,1.0,0.011,0.004,0.005
img_0684,0.422,0.376,0.007,0.002,0.003
img_0686,0.257,0.167,0.019,0.003,0.002
img_0687,0.248,0.65,0.004,0.003,0.002
img_0689,0.776,0.092,0.007,0.002,0.002
img_0690,0.448,0.024,0.006,0.006,0.004
img_0692,0.21,0.122,0.012,0.005,0.004
img_0694,0.268,0.166,0.009,0.004,0.002
img_0695,0.298,0.02,0.002,0.002,0.002
img_0696,0.313,0.963,0.008,0.009,0.009
img_0697,0.266,0.582,0.002,0.002,0.004
img_0698,0.813,0.018,0.005,0.001,0.002
img_0700,0.387,0.138,0.004,0.001,0.001
img_0702,0.196,0.189,0.008,0.002,0.005
img_0703,0.387,1.0,0.0,0.0,0.0
img_0705,0.134,0.303,0.003,0.009,0.007
img_0706,0.324,0.046,0.002,0.007,0.007
img_0707,0.381,0.024,0.003,0.006,0.004
img_0709,0.298,0.523,0.001,0.001,0.001
img_0710,0.422,0.49,0.001,0.001,0.001
img_0713,0.195,0.007,0.0,0.0,0.0
img_0714,0.702,0.035,0.001,0.0,0.0
img_0715,0.782,0.108,0.005,0.005,0.001
img_0716,0.26,0.054,0.012,0.002,0.001
img_0717,0.306,0.031,0.002,0.009,0.011
img_0718,0.252,0.049,0.012,0.005,0.002
img_0719,0.436,0.023,0.001,0.001,0.001
img_0720,0.926,0.029,0.002,0.001,0.001
img_0722,0.364,0.483,0.011,0.01,0.006
img_0724,0.15,0.514,0.003,0.001,0.002
img_0728,0.426,0.387,0.012,0.001,0.001
img_0729,0.134,0.288,0.021,0.003,0.002
img_0731,0.251,0.411,0.012,0.004,0.005
img_0732,0.228,0.112,0.008,0.003,0.001
img_0735,0.626,0.018,0.002,0.001,0.001
img_0736,0.327,0.065,0.004,0.001,0.001
img_0737,0.653,0.025,0.004,0.002,0.001
img_0738,0.646,0.746,0.006,0.005,0.004
img_0740,0.424,0.012,0.0,0.0,0.0
img_0741,0.521,0.102,0.019,0.011,0.004
img_0742,0.131,0.361,0.002,0.0,0.0
img_0743,0.319,0.034,0.001,0.003,0.001
img_0744,0.465,0.056,0.003,0.001,0.001
img_0745,0.538,0.484,0.012,0.0,0.001
img_0746,0.517,0.038,0.004,0.001,0.003
img_0748,0.368,0.389,0.01,0.006,0.002
img_0749,0.149,0.386,0.014,0.007,0.006
img_0750,0.114,0.945,0.008,0.008,0.008
img_0751,0.356,0.006,0.0,0.0,0.0
img_0752,0.189,0.326,0.006,0.004,0.006
img_0753,0.61,0.04,0.009,0.004,0.005
img_0755,0.613,0.056,0.002,0.0,0.001
img_0756,0.236,0.137,0.002,0.003,0.003
img_0758,0.221,0.314,0.005,0.005,0.003
img_0759,0.963,0.114,0.006,0.002,0.002
img_0760,0.827,0.285,0.01,0.006,0.006
img_0761,0.348,0.047,0.0,0.0,0.0
img_0762,0.567,1.0,0.004,0.004,0.003
img_0763,0.394,0.252,0.008,0.007,0.003
img_0764,0.423,0.069,0.004,0.003,0.002
img_0765,0.194,0.1,0.016,0.005,0.002
img_0766,0.407,0.203,0.006,0.004,0.003
img_0767,0.124,0.561,0.006,0.003,0.006
img_0768,0.164,0.205,0.003,0.003,0.002
img_0769,0.212,0.225,0.011,0.006,0.005
img_0770,0.111,0.731,0.001,0.005,0.003
img_0773,0.576,1.0,0.004,0.011,0.011
img_0774,0.43,0.12,0.004,0.003,0.002
img_0775,0.523,0.12,0.002,0.005,0.005
img_0776,0.229,0.051,0.002,0.002,0.001
img_0777,0.447,0.023,0.002,0.003,0.001
img_0779,0.473,0.159,0.01,0.019,0.002
img_0782,0.359,0.031,0.005,0.001,0.001
img_0783,0.867,0.172,0.012,0.005,0.013
img_0784,0.243,0.229,0.008,0.004,0.001
img_0785,0.238,0.079,0.003,0.002,0.004
img_0786,0.219,0.645,0.013,0.002,0.003
img_0787,0.257,0.045,0.015,0.003,0.001
img_0790,0.238,0.082,0.006,0.001,0.001
img_0792,0.309,0.616,0.01,0.004,0.008
img_0793,0.29,0.035,0.0,0.001,0.002
img_0794,0.292,0.019,0.0,0.0,0.0
img_0795,0.59,0.034,0.014,0.004,0.004
img_0796,0.225,0.65,0.01,0.007,0.009
img_0797,0.431,0.357,0.004,0.004,0.005
img_0798,0.271,0.011,0.0,0.0,0.0
img_0799,0.156,0.068,0.002,0.004,0.005
img_0801,0.474,0.102,0.012,0.005,0.012
img_0803,0.674,0.038,0.001,0.001,0.001
img_0804,0.412,0.019,0.0,0.0,0.001
img_0805,0.324,0.033,0.019,0.015,0.015
img_0808,0.362,0.018,0.001,0.005,0.005
img_0809,0.375,0.011,0.021,0.001,0.001
img_0810,0.29,0.033,0.023,0.018,0.012
img_0811,0.461,0.031,0.001,0.001,0.0
img_0812,0.779,0.732,0.011,0.009,0.006
img_0815,0.972,0.027,0.001,0.002,0.001
img_0817,0.546,0.049,0.007,0.001,0.001
img_0818,0.897,0.106,0.009,0.004,0.005
img_0819,0.312,0.575,0.011,0.005,0.008
img_0822,0.273,0.065,0.02,0.002,0.002
img_0824,0.0,0.0,0.0,0.0,0.0
img_0826,0.286,0.116,0.0,0.0,0.0
img_0828,0.28,0.094,0.001,0.001,0.0
img_0832,0.249,0.185,0.01,0.007,0.009
img_0833,0.862,0.306,0.008,0.006,0.005
img_0834,0.274,0.195,0.01,0.009,0.004
img_0836,0.408,0.405,0.012,0.003,0.002
img_0837,0.358,0.03,0.004,0.001,0.0
img_0839,0.33,0.123,0.002,0.002,0.003
img_0840,0.902,0.165,0.007,0.002,0.003
img_0841,0.643,0.391,0.002,0.002,0.003
img_0842,0.226,0.046,0.0,0.0,0.0
img_0844,0.365,0.016,0.002,0.001,0.001
img_0845,0.236,0.209,0.009,0.003,0.005
img_0846,0.279,0.562,0.002,0.001,0.001
img_0847,0.0,0.0,0.0,0.0,0.0
img_0848,0.25,0.0,0.007,0.009,0.008
img_0850,0.481,0.037,0.004,0.004,0.003
img_0851,0.271,0.021,0.003,0.002,0.001
img_0852,0.297,0.459,0.005,0.001,0.001
img_0853,0.902,0.017,0.005,0.002,0.002
img_0854,0.251,0.104,0.01,0.003,0.002
img_1048,0.369,0.093,0.006,0.005,0.006
img_1049,0.312,0.065,0.01,0.001,0.005
img_1050,0.946,0.09,0.004,0.003,0.005
img_1051,0.469,0.173,0.006,0.003,0.003
img_1053,0.278,0.547,0.001,0.001,0.002
img_1055,0.111,0.731,0.001,0.005,0.003
img_1056,0.143,1.0,0.003,0.003,0.005
img_1058,0.078,0.46,0.01,0.001,0.0
img_1061,0.445,0.525,0.004,0.001,0.0
img_1062,0.248,1.0,0.009,0.01,0.008
img_1063,0.385,0.579,0.0,0.0,0.0
img_1066,0.0,0.0,0.0,0.0,0.0
img_1067,0.62,0.953,0.008,0.008,0.008
img_1068,0.12,0.712,0.014,0.004,0.003
img_1069,0.192,0.272,0.003,0.011,0.012
img_1070,0.238,0.168,0.003,0.004,0.008
img_1071,0.178,0.21,0.003,0.003,0.006
img_1072,0.232,0.5,0.025,0.004,0.003
img_1073,0.239,0.153,0.008,0.005,0.003
img_1075,0.613,0.027,0.014,0.004,0.003
img_1076,0.347,1.0,0.009,0.011,0.005
img_1077,0.598,0.476,0.012,0.005,0.008
img_1078,0.334,0.19,0.006,0.003,0.004
img_1079,0.53,0.078,0.003,0.004,0.003
img_1081,0.174,0.071,0.002,0.003,0.006
img_1082,0.337,0.379,0.039,0.022,0.014
img_1084,0.445,0.205,0.004,0.006,0.004
img_1085,0.083,1.0,0.014,0.009,0.002
img_1086,0.497,0.177,0.006,0.003,0.002
img_1087,0.284,0.486,0.003,0.001,0.003
img_1088,0.107,0.389,0.003,0.012,0.018
img_1089,0.098,0.901,0.01,0.007,0.009
img_1090,0.351,0.048,0.003,0.003,0.002
img_1092,0.087,1.0,0.009,0.005,0.011
img_1093,0.412,0.499,0.001,0.0,0.001
img_1095,0.221,0.414,0.01,0.005,0.003
img_1096,0.707,0.223,0.007,0.002,0.003
img_1097,0.469,0.035,0.0,0.001,0.001
img_1099,0.59,0.475,0.001,0.001,0.002
img_1100,0.25,0.172,0.005,0.003,0.003
img_1102,0.372,0.112,0.003,0.001,0.001
img_1104,0.379,0.077,0.002,0.002,0.002
img_1105,0.573,0.068,0.016,0.016,0.013
img_1107,0.163,0.355,0.008,0.007,0.011
img_1108,0.166,0.154,0.023,0.006,0.003
img_1109,0.388,0.836,0.008,0.008,0.008
img_1110,0.689,0.395,0.009,0.004,0.003
img_1112,0.416,0.033,0.0,0.0,0.0
img_1114,0.28,0.543,0.003,0.001,0.002
img_1117,0.463,0.301,0.016,0.004,0.005
img_1121,0.178,0.046,0.0,0.001,0.001
img_1126,0.232,0.418,0.013,0.002,0.001
img_1127,0.177,0.213,0.002,0.008,0.007
img_1130,0.214,0.319,0.006,0.002,0.001
img_1135,0.296,0.129,0.008,0.002,0.001
img_1137,0.432,0.114,0.005,0.01,0.008
img_1138,0.4,0.031,0.017,0.007,0.001
img_1139,0.0,0.0,0.0,0.0,0.0
img_1140,0.182,0.48,0.001,0.005,0.001
img_1141,0.268,0.576,0.01,0.006,0.006
img_1142,0.146,0.569,0.008,0.004,0.002
img_1144,0.337,0.092,0.002,0.002,0.001
img_1145,0.49,0.07,0.011,0.004,0.005
img_1146,0.42,0.058,0.006,0.005,0.001
img_1147,0.422,0.87,0.007,0.005,0.002
img_1150,0.251,0.719,0.004,0.012,0.007
img_1152,0.25,0.0,0.0,0.0,0.0
img_1156,0.146,0.49,0.007,0.005,0.005
