img_id,asymmetry_score,border_score,color_score_red,color_score_green,color_score_blue,ground_truth_labels
PAT_1000_31_620.png,0.437,0.117,0.003,0.004,0.009,0
PAT_1006_53_385.png,0.513,0.307,0.004,0.005,0.003,0
PAT_1006_53_716.png,0.531,0.156,0.002,0.002,0.004,0
PAT_1008_59_297.png,0.408,0.082,0.008,0.008,0.005,0
PAT_100_393_595.png,0.299,0.235,0.001,0.003,0.002,0
PAT_100_393_898.png,0.386,0.175,0.001,0.002,0.005,0
PAT_1013_82_876.png,0.587,0.346,0.007,0.006,0.007,0
PAT_1014_85_22.png,0.33,0.724,0.003,0.009,0.02,0
PAT_1014_86_861.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1017_97_577.png,0.018,1.0,0.008,0.008,0.008,0
PAT_1018_107_68.png,0.246,0.025,0.006,0.006,0.004,0
PAT_1019_110_194.png,0.637,0.289,0.004,0.006,0.008,0
PAT_101_1041_651.png,0.132,0.014,0.001,0.001,0.005,0
PAT_101_1041_658.png,0.242,0.016,0.001,0.003,0.005,0
PAT_101_1041_898.png,0.211,0.009,0.0,0.001,0.0,0
PAT_1020_111_593.png,0.297,0.027,0.003,0.003,0.006,0
PAT_1021_112_40.png,0.335,0.097,0.006,0.006,0.017,0
PAT_1022_114_756.png,0.487,0.02,0.0,0.0,0.0,0
PAT_1022_115_132.png,0.588,0.136,0.002,0.002,0.007,0
PAT_1026_124_206.png,0.349,0.276,0.004,0.003,0.011,0
PAT_1026_124_346.png,0.515,0.189,0.004,0.004,0.011,0
PAT_1027_128_854.png,0.062,0.894,0.005,0.004,0.004,0
PAT_1029_135_239.png,0.321,0.368,0.004,0.005,0.007,0
PAT_1029_135_983.png,0.107,0.665,0.005,0.006,0.006,0
PAT_1031_148_29.png,0.181,0.015,0.0,0.001,0.004,0
PAT_1031_148_292.png,0.151,0.01,0.002,0.001,0.001,0
PAT_1031_148_66.png,0.318,0.015,0.0,0.0,0.0,0
PAT_1033_153_301.png,0.124,0.054,0.004,0.002,0.003,0
PAT_1034_160_819.png,0.379,0.107,0.003,0.005,0.009,0
PAT_1034_161_203.png,0.283,0.14,0.003,0.004,0.018,0
PAT_1035_165_800.png,0.162,0.027,0.002,0.005,0.004,0
PAT_1036_169_687.png,0.059,0.047,0.001,0.002,0.004,0
PAT_1042_187_746.png,0.288,0.424,0.003,0.005,0.005,0
PAT_1046_203_511.png,0.897,0.218,0.008,0.008,0.007,0
